source_point_id,source_pair_key,system_id,component_1_id,component_2_id,temperature_k,temperature_unit,pressure_kpa,pressure_original_unit,pressure_pa,pressure_canonical_unit,liquid_methane_mole_fraction,liquid_heavy_mole_fraction,vapor_methane_mole_fraction,vapor_heavy_mole_fraction,composition_unit,pressure_expanded_uncertainty_kpa,pressure_expanded_uncertainty_pa,vapor_heavy_expanded_uncertainty,uncertainty_confidence_level_percent,pressure_dataset_number,pressure_source_row,vapor_dataset_number,vapor_source_row
may2015_ch4_c2_001,T=203.22 K|x_CH4=0.3653,ch4_c2,methane,ethane,203.22,K,2124.0,kPa,2124000.0,Pa,0.3653,0.6347,0.8667,0.1333,1,137.0,137000.0,0.025,95.0,1,2,2,2
may2015_ch4_c2_002,T=213.39 K|x_CH4=0.3464,ch4_c2,methane,ethane,213.39,K,2517.0,kPa,2517000.0,Pa,0.3464,0.6536,0.8289,0.1711,1,157.0,157000.0,0.0182,95.0,1,3,2,3
may2015_ch4_c2_003,T=223.5 K|x_CH4=0.3315,ch4_c2,methane,ethane,223.5,K,2945.0,kPa,2945000.0,Pa,0.3315,0.6685,0.7805,0.2195,1,81.0,81000.0,0.0053,95.0,1,4,2,4
may2015_ch4_c2_004,T=233.56 K|x_CH4=0.3188,ch4_c2,methane,ethane,233.56,K,3417.0,kPa,3417000.0,Pa,0.3188,0.6812,0.7244999999999999,0.2755,1,74.0,74000.0,0.0051,95.0,1,5,2,5
may2015_ch4_c2_005,T=243.58 K|x_CH4=0.3099,ch4_c2,methane,ethane,243.58,K,3949.0,kPa,3949000.0,Pa,0.3099,0.6900999999999999,0.6664,0.3336,1,52.0,52000.0,0.0074,95.0,1,1,2,1
may2015_ch4_c2_006,T=243.6 K|x_CH4=0.2812,ch4_c2,methane,ethane,243.6,K,3675.0,kPa,3675000.0,Pa,0.2812,0.7188,0.651,0.349,1,68.0,68000.0,0.012,95.0,1,17,2,17
may2015_ch4_c2_007,T=243.6 K|x_CH4=0.3082,ch4_c2,methane,ethane,243.6,K,3942.0,kPa,3942000.0,Pa,0.3082,0.6918,0.6659999999999999,0.334,1,52.0,52000.0,0.0062,95.0,1,6,2,6
may2015_ch4_c2_008,T=243.6 K|x_CH4=0.3973,ch4_c2,methane,ethane,243.6,K,4831.0,kPa,4831000.0,Pa,0.3973,0.6027,0.7046,0.2954,1,77.0,77000.0,0.0059,95.0,1,7,2,7
may2015_ch4_c2_009,T=243.6 K|x_CH4=0.4255,ch4_c2,methane,ethane,243.6,K,5094.0,kPa,5094000.0,Pa,0.4255,0.5745,0.7143999999999999,0.2856,1,78.0,78000.0,0.0058,95.0,1,15,2,15
may2015_ch4_c2_010,T=243.6 K|x_CH4=0.4553,ch4_c2,methane,ethane,243.6,K,5395.0,kPa,5395000.0,Pa,0.4553,0.5447,0.7212000000000001,0.2788,1,76.0,76000.0,0.0078,95.0,1,8,2,8
