case_id,physical_field_change_count,physical_fields,path_field_change_count,path_fields,status_change,termination_change
bubble_ch4_c2_20_80_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c2_20_80_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c2_50_50_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
bubble_ch4_c2_80_20_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,2,inner_iterations|outer_iterations,false,false
bubble_ch4_c2_branch_lost,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ch4_c2_c3_40_40_20_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
bubble_ch4_c2_c3_40_40_20_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c2_c3_60_30_10_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c2_c3_80_10_10_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
bubble_ch4_c2_corrector_failed,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ch4_c2_forward_200_220,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ch4_c2_maximum_points,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ch4_c2_minimum_step_reached,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ch4_c2_pressure_out_of_bounds,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,3,inner_iterations|outer_iterations|rejected_attempts,false,false
bubble_ch4_c2_reverse_210_200,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ch4_c3_20_80_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c3_20_80_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c3_50_50_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
bubble_ch4_c3_50_50_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
bubble_ch4_c3_60_40_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
bubble_ch4_c3_60_40_250k,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|fugacity_residual,1,inner_iterations,false,false
bubble_ch4_c3_80_20_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
bubble_ch4_c3_80_20_250k,0,,1,inner_iterations,false,false
bubble_ch4_c3_forward_230_250,8,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|fugacity_residual|branch_points,0,,false,false
bubble_pure_methane_forward_150_170,4,saturation_pressure_pa|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_pure_methane_near_critical,4,saturation_pressure_pa|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
bubble_ternary_forward_200_220,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,1,rejected_attempts,false,false
continuation_only_ch4_c2_bubble_240_250,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,0,,false,false
continuation_only_ternary_bubble_220_230,7,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root|branch_points,3,inner_iterations|outer_iterations|rejected_attempts,false,false
dew_ch4_c2_20_80_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
dew_ch4_c2_20_80_250k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,1,inner_iterations,false,false
dew_ch4_c2_50_50_180k,6,incipient_composition|saturation_pressure_pa|k_values|log_k_values|selected_parent_root|selected_incipient_root,0,,false,false
